4001,12134353,34428347,Unable to login,Open,2024-05-01,2024-05-03
4002,23894729,55839283,Payment not processed,In Progress,2024-05-03,2024-05-07
4003,87432904,44782930,Order not delivered,Resolved,2024-05-05,2024-05-10
4004,56290837,98745612,Product malfunction,Open,2024-05-07,2024-05-10
4005,34789012,23456789,Account suspended,In Progress,2024-05-09,2024-05-14
4006,90875634,65748392,Refund issue,Resolved,2024-05-11,2024-05-13
4007,67983245,39485721,Unable to contact support,Open,2024-05-13,2024-05-18
4008,45329087,83947563,Wrong item received,In Progress,2024-05-15,2024-05-20
4009,12983475,49283756,Website down,Resolved,2024-05-17,2024-05-19
4010,76348219,38572049,Order canceled but charged,Open,2024-05-19,2024-05-22
